method,n,p,m,alpha,gamma,sigma_sq,mean_mse,se_mse,mean_loading_error,se_loading_error,mean_false_positive_rate,se_false_positive_rate,mean_false_negative_rate,se_false_negative_rate,mean_factor_score_cor,se_factor_score_cor
PCA,500,50,3,0.8,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,3,0.8,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,3,0.8,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,3,0.8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,3,0.8,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,3,0.8,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,3,0.8,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,3,0.8,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.2,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.2,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.2,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.2,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.5,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.5,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.5,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.8,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.8,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.8,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.8,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.8,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.8,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.8,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,50,5,0.8,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.2,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.2,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.2,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.2,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.5,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.5,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.5,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.8,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.8,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.8,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.8,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.8,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.8,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.8,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,3,0.8,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.2,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.2,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.2,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.2,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.5,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.5,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.5,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.8,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.8,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.8,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.8,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.8,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.8,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.8,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,100,5,0.8,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.2,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.2,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.2,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.2,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.5,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.5,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.5,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.8,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.8,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.8,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.8,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.8,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.8,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.8,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,3,0.8,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.2,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.2,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.2,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.2,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.5,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.5,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.5,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.8,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.8,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.8,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.8,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.8,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.8,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.8,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCA,500,200,5,0.8,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.2,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.2,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.2,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.2,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.5,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.5,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.5,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.8,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.8,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.8,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.8,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.8,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.8,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.8,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,3,0.8,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.2,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.2,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.2,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.2,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.5,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.5,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.5,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.8,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.8,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.8,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.8,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.8,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.8,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.8,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,50,5,0.8,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.2,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.2,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.2,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.2,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.5,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.5,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.5,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.8,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.8,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.8,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.8,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.8,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.8,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.8,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,3,0.8,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,5,0.2,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,5,0.2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,5,0.2,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,5,0.2,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,5,0.2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,5,0.2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,5,0.2,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,5,0.2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,5,0.2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,5,0.5,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,5,0.5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,5,0.5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,5,0.5,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,5,0.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,5,0.5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,5,0.5,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,5,0.5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparse PCA,100,100,5,0.5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
